Date,Open,High,Low,Close,Adj Close,Volume
2021-10-08,189.000000,190.149994,187.000000,187.699997,179.973907,6123882
2021-10-11,190.000000,195.100006,189.300003,193.449997,185.487228,9736532
2021-10-12,193.899994,194.649994,191.649994,193.350006,185.391342,6404975
2021-10-13,195.100006,204.500000,194.149994,199.399994,191.192291,24806711
2021-10-14,200.199997,205.949997,198.250000,204.649994,196.226196,14389092
2021-10-18,209.800003,209.949997,202.149994,203.800003,195.411194,28909774
2021-10-19,204.000000,204.800003,197.000000,198.649994,190.473175,12130633
2021-10-20,200.000000,200.250000,193.350006,194.350006,186.350174,16432451
2021-10-21,196.250000,197.350006,193.500000,194.050003,186.062531,12709911
2021-10-22,195.899994,197.000000,191.250000,194.449997,186.446060,5779403
2021-10-25,194.449997,195.000000,190.500000,192.649994,184.720139,5896815
2021-10-26,192.600006,192.949997,189.699997,190.399994,182.562759,6394388
2021-10-27,190.149994,191.850006,188.550003,190.250000,182.418945,7397010
2021-10-28,190.699997,191.100006,185.250000,185.899994,178.247986,8321429
2021-10-29,186.899994,188.649994,181.300003,185.050003,177.432983,9741027
2021-11-01,184.600006,188.500000,184.550003,187.750000,180.021835,4106365
2021-11-02,188.649994,191.250000,185.149994,185.500000,177.864456,8210168
2021-11-03,185.500000,187.300003,183.000000,183.949997,176.378265,10468296
2021-11-04,184.949997,185.850006,184.250000,185.050003,177.432983,622661
2021-11-08,187.600006,190.350006,184.600006,189.149994,181.364212,8960493
2021-11-09,190.350006,190.350006,185.300003,186.550003,178.871231,7785863
2021-11-10,185.949997,186.500000,183.550003,184.399994,176.809723,10393389
2021-11-11,185.000000,185.250000,180.699997,182.149994,174.652344,6638516
2021-11-12,183.699997,183.699997,180.300003,182.000000,174.508514,7193005
2021-11-15,182.199997,188.750000,182.000000,188.300003,180.549210,18616006
2021-11-16,189.000000,191.350006,186.500000,187.600006,179.878021,17404748
2021-11-17,187.000000,193.800003,187.000000,191.050003,183.186020,13769624
2021-11-18,191.850006,194.449997,191.050003,192.500000,184.576324,8057200
